PID	%CPU	TimeStamp
1	0.0	0.450000
0	33.3	0.460000
1	33.3	0.460000
3	33.3	0.460000
2	0.0	0.460000
4	0.0	0.460000
5	0.0	0.460000
1	50.0	0.470000
2	50.0	0.470000
4	50.0	0.470000
5	50.0	0.470000
0	0.0	0.470000
3	0.0	0.470000
0	50.0	0.480000
1	25.0	0.480000
2	25.0	0.480000
3	25.0	0.480000
4	25.0	0.480000
5	25.0	0.480000
1	50.0	0.490000
4	50.0	0.490000
0	0.0	0.490000
2	0.0	0.490000
3	0.0	0.490000
5	0.0	0.490000
0	50.0	0.500000
1	50.0	0.500000
2	50.0	0.500000
3	50.0	0.500000
5	50.0	0.500000
4	0.0	0.500000
4	66.7	0.510000
0	33.3	0.510000
1	33.3	0.510000
2	33.3	0.510000
3	33.3	0.510000
5	33.3	0.510000
0	50.0	0.520000
5	50.0	0.520000
1	0.0	0.520000
2	0.0	0.520000
3	0.0	0.520000
4	0.0	0.520000
0	33.3	0.530000
1	33.3	0.530000
2	33.3	0.530000
3	33.3	0.530000
4	33.3	0.530000
5	0.0	0.530000
1	100.0	0.540000
0	50.0	0.540000
2	50.0	0.540000
3	50.0	0.540000
4	50.0	0.540000
5	50.0	0.540000
0	33.3	0.550000
4	33.3	0.550000
5	33.3	0.550000
1	0.0	0.550000
2	0.0	0.550000
3	0.0	0.550000
1	100.0	0.560000
0	50.0	0.560000
3	50.0	0.560000
4	50.0	0.560000
5	50.0	0.560000
2	0.0	0.560000
0	33.3	0.570000
2	33.3	0.570000
3	33.3	0.570000
4	33.3	0.570000
1	0.0	0.570000
5	0.0	0.570000
0	50.0	0.580000
1	0.0	0.580000
2	0.0	0.580000
3	0.0	0.580000
4	0.0	0.580000
5	0.0	0.580000
0	33.3	0.590000
1	33.3	0.590000
2	33.3	0.590000
3	33.3	0.590000
4	33.3	0.590000
5	33.3	0.590000
1	100.0	0.600000
2	50.0	0.600000
4	50.0	0.600000
5	50.0	0.600000
0	0.0	0.600000
3	0.0	0.600000
0	50.0	0.610000
3	50.0	0.610000
4	50.0	0.610000
1	0.0	0.610000
2	0.0	0.610000
5	0.0	0.610000
0	33.3	0.620000
2	33.3	0.620000
3	33.3	0.620000
4	33.3	0.620000
5	33.3	0.620000
1	0.0	0.620000
1	100.0	0.630000
2	50.0	0.630000
0	0.0	0.630000
3	0.0	0.630000
4	0.0	0.630000
5	0.0	0.630000
0	33.3	0.640000
3	33.3	0.640000
4	33.3	0.640000
5	33.3	0.640000
1	0.0	0.640000
2	0.0	0.640000
0	33.3	0.650000
1	33.3	0.650000
2	33.3	0.650000
4	33.3	0.650000
5	33.3	0.650000
3	0.0	0.650000
1	50.0	0.660000
2	50.0	0.660000
3	50.0	0.660000
4	50.0	0.660000
0	0.0	0.660000
5	0.0	0.660000
0	100.0	0.670000
1	50.0	0.670000
5	50.0	0.670000
2	0.0	0.670000
3	0.0	0.670000
4	0.0	0.670000
1	33.3	0.680000
2	33.3	0.680000
3	33.3	0.680000
4	33.3	0.680000
0	0.0	0.680000
5	0.0	0.680000
0	33.3	0.690000
1	33.3	0.690000
4	33.3	0.690000
5	33.3	0.690000
2	0.0	0.690000
3	0.0	0.690000
0	50.0	0.700000
2	50.0	0.700000
3	50.0	0.700000
4	50.0	0.700000
5	50.0	0.700000
1	0.0	0.700000
1	66.7	0.710000
0	33.3	0.710000
3	33.3	0.710000
4	33.3	0.710000
5	33.3	0.710000
2	0.0	0.710000
2	33.3	0.720000
4	33.3	0.720000
0	0.0	0.720000
1	0.0	0.720000
3	0.0	0.720000
5	0.0	0.720000
0	100.0	0.730000
